Unnamed: 0,lmin,wmin,temp,supply,toxe_n,toxm_n,toxref_n,toxp_n,xj_n,ndep_n,toxe_p,toxm_p,toxref_p,toxp_p,xj_p,ndep_p
0,22.21950936275826,362.21463237866124,46.31943036830701,0.8620337819405358,6.934984949881139e-10,6.402666832724926e-10,6.5028307986518e-10,4.0371640611024305e-10,7.413205300034377e-09,1.231191123478698e+19,6.319509196036809e-10,6.324261856967454e-10,6.647074748497221e-10,4.0043722995094135e-10,7.014268466469464e-09,4.308701319171959e+18
1,25.667935783447888,251.9464620594179,14.319261619886774,0.8147112968556537,6.478514109883806e-10,6.683070781145401e-10,6.200572480311666e-10,3.8633428044780135e-10,7.377951942371441e-09,1.1406552641858734e+19,6.702478230426301e-10,6.880535378281413e-10,6.791394988625617e-10,4.171137764026467e-10,7.436170143306252e-09,4.421656309318949e+18
2,25.994905844312232,180.69153871152318,106.23708058989943,0.8982129082431604,6.348741491833954e-10,6.867566949556811e-10,6.700813448968594e-10,3.740556734667761e-10,7.402613060888671e-09,1.1853727028610812e+19,6.90238063761587e-10,6.449542466821651e-10,6.349354244962512e-10,4.0728798723663606e-10,7.217789069085879e-09,4.735808508311899e+18
3,22.65382689592373,147.31001753084848,78.64052841711373,0.8946112518270789,6.49845768787805e-10,6.315903507492571e-10,6.384048433650152e-10,4.0853070056910124e-10,6.807639249491543e-09,1.2406860392856295e+19,6.892516531977825e-10,6.648426355138678e-10,6.39989699834295e-10,3.9971836303227975e-10,7.096252679146859e-09,4.361289370323797e+18
4,22.55698674580166,217.07980070223684,97.16663016566308,0.8704405257261232,6.43565682710424e-10,6.49704100911705e-10,6.785425334935791e-10,4.074295157332118e-10,7.1978851359863825e-09,1.281440791279379e+19,6.471337682822305e-10,6.6088916084459e-10,6.53798039991951e-10,3.9219113589767006e-10,7.176330079946861e-09,4.524781860167565e+18
5,22.329603611356497,86.66256700648285,89.82506769226336,0.940990363450566,6.698290949147532e-10,6.468368926071116e-10,6.444325139940865e-10,3.9305418294370766e-10,7.603031409676126e-09,1.2175951336439816e+19,6.467303607576975e-10,6.63310410919902e-10,7.06298969745045e-10,3.9889731423016727e-10,7.330130822296747e-09,4.367330939193751e+18
6,25.197337994789763,311.9328432097812,-31.238427342955447,0.8742426682126834,6.63732038403701e-10,6.434459073667724e-10,6.620427829505824e-10,3.9633549918292636e-10,7.507919021948529e-09,1.2264918931050396e+19,7.139742641839545e-10,6.550059599978086e-10,6.773528565829024e-10,4.006247784502012e-10,6.97612370603723e-09,4.338429877300812e+18
7,22.558738565822672,195.60424565088093,67.68344178220306,0.8699382422985333,6.249880319143015e-10,6.832101748392497e-10,6.288859911891083e-10,3.9089235177807137e-10,7.215626353670042e-09,1.2171643234910394e+19,6.331297627837206e-10,6.678641301628016e-10,6.88506556509337e-10,4.41565948409172e-10,7.063950456963255e-09,4.4122952991611904e+18
8,22.088311096233188,297.08821707913484,-13.67771643692759,0.94390381860451,6.886243817908636e-10,6.243430144625882e-10,6.487970985311513e-10,4.0599933774736494e-10,7.256296650138243e-09,1.2297932239789662e+19,6.706985430599736e-10,6.443564662564026e-10,6.522829423068835e-10,3.7075264711912577e-10,7.277389410960089e-09,4.489929347045809e+18
9,24.917348942987303,60.319196659534974,90.5443353802316,0.8237561446388052,6.895616357617096e-10,6.480996941217753e-10,6.61562979775326e-10,4.0799685839096017e-10,7.042502051966534e-09,1.2254493223217834e+19,7.385845597538146e-10,6.719165308306583e-10,6.72561839456461e-10,4.048939829361859e-10,7.476156479742744e-09,4.520483190497706e+18
10,25.047348935173925,402.0462111668379,-46.203612608794494,0.8693361294000794,6.698650959230934e-10,6.512965118145632e-10,6.703169006896343e-10,3.8259854223413104e-10,7.74114159138472e-09,1.234595040415996e+19,6.65120784515406e-10,6.408404128055744e-10,6.759550415488668e-10,3.8331774927286966e-10,7.115808908333963e-09,4.218942899509211e+18
11,24.632636621206316,53.08179577868857,57.58646204442496,0.8271511434104519,6.28151207515877e-10,6.897521151373964e-10,5.978905762027877e-10,4.0359474890152236e-10,6.713611461709363e-09,1.2095155054154967e+19,6.757764065028291e-10,6.803324713095079e-10,6.82750442120474e-10,3.724893127323181e-10,6.875237143222753e-09,4.1149763061745546e+18
12,23.11533743497843,33.323754402232375,-26.674991593897754,0.8488965418296464,6.657935709788039e-10,6.337190290642665e-10,6.82188188953029e-10,4.1557064244268327e-10,7.160628841253112e-09,1.2966001400098302e+19,6.79527726877821e-10,6.526601448435222e-10,6.955463191064942e-10,4.038498238484761e-10,7.256869979791241e-09,4.279585137028508e+18
13,23.658294549314228,368.86613652337724,49.78119942979028,0.8665288352988618,6.658453656811496e-10,6.815627654420052e-10,6.476401360288573e-10,4.0572747535876284e-10,7.80650476038805e-09,1.1871335027704732e+19,6.64421482382904e-10,6.449280465713392e-10,6.558176711119552e-10,4.2193338996980074e-10,7.1993534097827274e-09,4.5607621765347727e+18
14,22.827482141998782,407.8893861072537,-7.773981906306403,0.8311827377184474,6.625259095711637e-10,6.727831562133555e-10,6.422539321639961e-10,3.84592128624918e-10,7.103141557340204e-09,1.1761604346083418e+19,6.934897532930302e-10,6.557222136109753e-10,6.960866559356865e-10,4.089014635701118e-10,7.153601387169932e-09,4.3710629753106847e+18
15,23.39370247956838,78.56517510525728,5.790958553070801,0.9443927380687192,6.552559323752218e-10,6.529301178271548e-10,5.910138629930682e-10,3.716526304014139e-10,6.818779416153755e-09,1.2252767805392863e+19,6.924223890972679e-10,7.117027790931126e-10,6.545810649867213e-10,4.1166606723333516e-10,7.073518339922802e-09,4.780743157337882e+18
16,22.559008545249824,37.903440291726184,49.6992535540937,0.8696895478038847,6.33952571994256e-10,6.561038951455936e-10,6.451427844761516e-10,4.1037400811392943e-10,6.876557552532017e-09,1.187883915808234e+19,7.083666472532777e-10,6.653303928105763e-10,6.276059986774765e-10,4.0968471587582565e-10,7.2000565378540155e-09,4.674184755864656e+18
17,23.706655921000518,120.73548940064684,-28.57262903148509,0.95891442686827,6.251322488901174e-10,7.089340013560043e-10,6.532501369156434e-10,4.071117520941483e-10,7.268807694180497e-09,1.254766547702036e+19,7.065251138311783e-10,6.168416064142931e-10,7.042553639688822e-10,3.81025750192087e-10,7.340675257863204e-09,4.484746033168909e+18
18,25.39819735609944,371.69041926765834,19.499950407375067,0.92138096410155,6.434596172112461e-10,6.439368773021462e-10,6.601013392399327e-10,3.8922705589612516e-10,7.257851353178731e-09,1.260438877743995e+19,6.72223464479239e-10,7.009169183306303e-10,6.96736396287993e-10,3.9466652752716247e-10,7.068516300611337e-09,4.398998916155842e+18
19,22.914663595696986,153.15547704024797,70.00783289130676,0.8700883433810813,6.634783363192715e-10,6.4605422096531e-10,6.007027322158361e-10,3.9815221494979325e-10,6.800869399316837e-09,1.1911267951037397e+19,6.398879504859702e-10,6.45847658544337e-10,6.513020291683377e-10,4.0716434917819566e-10,7.294116159478382e-09,4.560551155458152e+18
20,24.70886876435804,431.7595494222912,-44.23988748775153,0.93848636814336,6.59444651820465e-10,6.58305471164769e-10,6.583479002136235e-10,3.819507322901465e-10,7.58444040388356e-09,1.2225449308213772e+19,6.858887199210246e-10,6.793389043906044e-10,6.697363537165151e-10,3.8568555463693325e-10,7.444369603200587e-09,4.3163588877326863e+18
21,25.12426139766148,213.7605137135289,36.58362689196636,0.8145180096243511,6.58580397715054e-10,6.234761637870152e-10,6.366264062876076e-10,3.9953114649885975e-10,7.096725923898579e-09,1.2261808753018049e+19,6.703257026833716e-10,7.026771445281455e-10,7.364171228728911e-10,4.1237421561264574e-10,7.076543106828909e-09,4.169051170165724e+18
22,24.19327030133666,69.09475690951439,-3.336795658341522,0.9812008120146102,6.301811956343062e-10,6.547245799130874e-10,6.37852008653071e-10,3.97989403944416e-10,6.400966042556231e-09,1.205858908890502e+19,6.57206782917752e-10,6.752923577160414e-10,6.899777924081175e-10,4.137975269238116e-10,7.959319944095092e-09,4.4245002924369326e+18
23,22.41513716891519,432.22400329297983,102.94477528725692,0.923096304539568,6.178105750797588e-10,6.77564148838283e-10,5.95233047168351e-10,3.9937727979779327e-10,7.464341721501317e-09,1.200846171949349e+19,6.869134060756843e-10,6.695201742346023e-10,6.719774174425151e-10,3.9344540662987996e-10,6.997988259082642e-09,4.271976439570842e+18
